WIC_Job_Location_Snapshot_ID,Job_Title,Original_Job_Title,NOC21_Code,NOC21_Code_Name,First_Posting_Date,Month,Vacancy_Count,Province_Territory,City,Economic_Region,Employment_Type,Employment_Term,Education_LOS,Experience_Level,Salary_Condition_Detail,Salary_Per,Salary_Minimum,Salary_Maximum,Estimated_Annual_Min,Estimated_Annual_Max,Estimated_Annual_Mid,Salary_Valid,NOC21_Code_Clean,Digital Literacy,Numeracy,Problem Solving,Systems Analysis,Critical Thinking,Decision Making,Reading Comprehension,Writing,Troubleshooting,Time Management
15341700,data scientist,Not specified,21211.0,Data scientists,2026-03-20,2026-03,1,Ontario,Not specified,Not specified,Full time,Permanent employment,Bachelor's degree,2 years to less than 3 years,"$85,000.00 to $95,000.00 annually (to be negotiated)",Year,85000.0,95000.0,85000.0,95000.0,90000.0,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15295543,data scientist,"Data Scientist III, TD Auto Finance",21211.0,Data scientists,2026-03-02,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15369225,data scientist,Scientifique des données,21211.0,Data scientists,2026-03-31,2026-03,1,Québec,Montréal,Montréal Region,Full time,Not specified,Not specified,Not specified,"$70,000.00 to $110,000.00 annually",Year,70000.0,110000.0,70000.0,110000.0,90000.0,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15333529,data scientist,Not specified,21211.0,Data scientists,2026-03-16,2026-03,1,Alberta,Calgary,Calgary Region,Full time,Permanent employment,Not specified,Not specified,"$178,396.92 annually",Year,178396.92,178396.92,178396.92,178396.92,178396.92,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15353078,data analyst - informatics and systems,Analyst-developer - Health data integration and infrastructure,21223.0,Database analysts and data administrators,2026-03-25,2026-03,1,New Brunswick,Moncton,Moncton–Richibucto Region,Full time,Term or contract,Not specified,Not specified,"$66,924.00 to $93,470.00 annually",Year,66924.0,93470.0,66924.0,93470.0,80197.0,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
15357012,business data analyst,Business Intelligence Data Analyst (Program Admin Officer 3),21221.0,Business systems specialists,2026-03-26,2026-03,1,Nova Scotia,Halifax,Halifax Region,Full time,Permanent employment,Not specified,Not specified,"$2,805.63 to $3,410.48 biweekly",Bi-weekly,2805.63,3410.48,72946.38,88672.48,80809.43,True,21221,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
15336400,data analyst - informatics and systems,Not specified,21223.0,Database analysts and data administrators,2026-03-18,2026-03,1,Saskatchewan,Regina,Regina–Moose Mountain Region,Full time,Not specified,Not specified,Not specified,"$34.90 ($5,308.29) - $44.36 ($6,747.16)",Hour,34.9,5308.29,72592.0,11041243.200000001,5556917.600000001,False,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
15371694,data scientist,Senior Data Engineer,21211.0,Data scientists,2026-03-18,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15293302,data analyst - informatics and systems,Data Designer II,21223.0,Database analysts and data administrators,2026-03-01,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$25.00 to $61.03 hourly,Hour,25.0,61.03,52000.0,126942.4,89471.2,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
15361674,data analyst - informatics and systems,Senior Analyst BI Reporting,21223.0,Database analysts and data administrators,2026-03-28,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$25.00 to $61.03 hourly,Hour,25.0,61.03,52000.0,126942.4,89471.2,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
15361773,data scientist,"Data Scientist, Global AML Transaction Monitoring",21211.0,Data scientists,2026-03-28,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15363720,data analytics specialist,Not specified,21211.0,Data scientists,2026-03-30,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Bachelor's degree,2 years to less than 3 years,"$80,000.00 to $115,000.00 annually (to be negotiated)",Year,80000.0,115000.0,80000.0,115000.0,97500.0,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15309711,data analyst - informatics and systems,Site Reliability Engineer: Automate &amp; Fortify Resilience,21223.0,Database analysts and data administrators,2026-03-08,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$24.00 to $58.00 hourly,Hour,24.0,58.0,49920.0,120640.0,85280.0,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
